area,lon,lat,num_bed,num_bath,bank,cafe,college,hospital,marketplace,medical_supply,parking,pharmacy,school,supermarket,university,price,point,pointPlus,pointPlus1,newprice
35,106.596951,10.76963,2,2,0,10,0,0,0,0,0,1,2,3,0,105557.9492,20,7800,680,106237.9492
28,106.698242,10.745437,2,2,3,10,0,0,3,0,2,5,8,7,1,73244.29125,20,17700,1670,74914.29125
80,106.61651,10.740097,4,5,10,10,2,0,3,0,3,10,8,2,0,262386.9022,20,2310,131,262517.9022
56,106.688135,10.806669,4,5,10,10,2,2,3,2,0,10,10,9,0,409306.3335,20,26700,2570,411876.3335
45,106.707004,10.758929,2,2,4,10,1,1,1,1,1,10,7,9,1,150797.0702,20,17100,1610,152407.0702
47,105.871187,20.969137,3,2,0,5,0,0,2,0,2,1,7,4,0,79707.02283,20,11100,1010,80717.02283
49,106.660281,10.761232,1,1,10,10,3,10,4,10,2,10,10,9,2,193451.0987,20,35400,3440,196891.0987
36,106.722136,10.734963,4,4,6,10,1,4,3,4,5,7,8,7,0,344679.0177,20,23700,2270,346949.0177
30,105.85618,20.995127,3,3,8,10,0,0,1,0,3,10,9,2,2,107712.193,20,19800,1880,109592.193
45,106.661082,10.839881,2,2,10,10,0,0,2,0,2,10,6,10,0,77552.77897,20,19200,1820,79372.77897
40,105.799102,20.997915,3,3,10,10,1,2,0,2,0,7,6,10,2,176647.9966,20,19800,1880,178527.9966
28,106.643578,10.848148,2,2,2,10,0,0,1,0,0,10,10,5,0,102542.0078,20,17100,1610,104152.0078
30,105.700178,20.999249,4,4,0,1,0,0,0,0,0,1,1,1,0,137871.6071,15,1500,50,137921.6071
24,106.616276,10.766118,1,1,2,10,0,0,3,0,2,7,2,7,0,73244.29125,20,11700,1070,74314.29125
56,106.703991,10.825675,3,4,0,10,2,0,1,0,6,4,4,8,1,310211.1159,20,11700,1070,311281.1159
65,105.857398,20.988785,5,4,7,10,1,0,2,0,2,10,10,7,1,184403.2745,20,21600,2060,186463.2745
42,105.700178,20.999249,4,3,0,1,0,0,0,0,0,1,1,1,0,180956.4843,15,1500,50,181006.4843
65,106.636722,10.778274,5,5,10,10,0,2,5,2,1,10,10,10,0,404997.8458,20,27300,2630,407627.8458
43,105.700178,20.999249,5,4,0,1,0,0,0,0,0,1,1,1,0,140025.8509,15,1500,50,140075.8509
